ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,easy,easy,data/set4/a10
Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.,easy,easy,data/set4/a10
Alessandro_Volta,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.,easy,easy,data/set4/a10
Alessandro_Volta,Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.,medium,medium,data/set4/a10
Alessandro_Volta,What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile.",medium,easy,data/set4/a10
Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.,medium,medium,data/set4/a10
Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,hard,hard,data/set4/a10
Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.,hard,hard,data/set4/a10
Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,hard,hard,data/set4/a10
Alessandro_Volta,Was Alessandro Volta an Egyptian?,no,easy,easy,data/set4/a10
Alessandro_Volta,Was Volta taught in public schools?,yes,easy,easy,data/set4/a10
Alessandro_Volta,Was Volta made a count in 1810?,yes,easy,easy,data/set4/a10
Alessandro_Volta,Who made Volta a count?,Napoleon,medium,medium,data/set4/a10
Alessandro_Volta,Where was Volta born?,Como,medium,medium,data/set4/a10
Alessandro_Volta,When did Volta retire?,1819,medium,medium,data/set4/a10
Alessandro_Volta,"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como,hard,hard,data/set4/a10
Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,where he died,hard,hard,data/set4/a10
Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no,hard,medium,data/set4/a10
Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Was he a member of the Royal Superior Council on Public Instruction?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt,medium,medium,data/set4/a8
Amedeo_Avogadro,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights,medium,hard,data/set4/a8
Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,medium,medium,data/set4/a8
Amedeo_Avogadro,In what language was his 1811 paper published?,French,hard,hard,data/set4/a8
Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazz,hard,hard,data/set4/a8
Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia,hard,hard,data/set4/a8
Amedeo_Avogadro,Was Amedeo Avogadro was born in Turin?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,easy,easy,data/set4/a8
Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin,medium,medium,data/set4/a8
Amedeo_Avogadro,Avogadro did not actually use what word?,atom,medium,medium,data/set4/a8
Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,medium,medium,data/set4/a8
Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number,hard,medium,data/set4/a8
Amedeo_Avogadro,Is Amedeo Avogadro Italian?,Yes,hard,easy,data/set4/a8
Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,hard,hard,data/set4/a8
Ant,Do ants belong to the Hymenoptera order?,yes,easy,easy,data/set1/a1
Ant,Are ants used in cuisine?,yes,easy,easy,data/set1/a1
Ant,Does an ant's head contain sensory organs?,yes,easy,easy,data/set1/a1
Ant,How do most ants travel?,most ants travel by walking,medium,medium,data/set1/a1
Ant,"In ant colonies, what are the fertile female ants called?",queens,medium,medium,data/set1/a1
Ant,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants,medium,medium,data/set1/a1
Ant,"Do the ants eat plants, meats, or both?",both,hard,too hard,data/set1/a1
Ant,What organs gives a bull ant its good sight?,compound eyes,hard,too hard,data/set1/a1
Ant,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed,hard,medium,data/set1/a1
Ant,Are ants found in Antartica?,"No, there are no ants in antarctica.",easy,easy,data/set1/a1
Ant,Do male ants take flight before females?,"Yes, male ants take flight before females.",easy,easy,data/set1/a1
Ant,Do worker ants have wings?,"No, worker ants do not have wings.",easy,easy,data/set1/a1
